decimalism,hexadecimal,kanji
197247,0x3027f,𰉿
197248,0x30280,𰊀
197249,0x30281,𰊁
197250,0x30282,𰊂
197251,0x30283,𰊃
197252,0x30284,𰊄
197253,0x30285,𰊅
197254,0x30286,𰊆
197255,0x30287,𰊇
197256,0x30288,𰊈
197257,0x30289,𰊉
197258,0x3028a,𰊊
197259,0x3028b,𰊋
197260,0x3028c,𰊌
197261,0x3028d,𰊍
197262,0x3028e,𰊎
197263,0x3028f,𰊏
197264,0x30290,𰊐
197265,0x30291,𰊑
197266,0x30292,𰊒
197267,0x30293,𰊓
197268,0x30294,𰊔
197269,0x30295,𰊕
197270,0x30296,𰊖
197271,0x30297,𰊗
197272,0x30298,𰊘
197273,0x30299,𰊙
197274,0x3029a,𰊚
197275,0x3029b,𰊛
197276,0x3029c,𰊜
197277,0x3029d,𰊝
197278,0x3029e,𰊞
197279,0x3029f,𰊟
197280,0x302a0,𰊠
197281,0x302a1,𰊡
197282,0x302a2,𰊢
197283,0x302a3,𰊣
197284,0x302a4,𰊤
197285,0x302a5,𰊥
197286,0x302a6,𰊦
197287,0x302a7,𰊧
197288,0x302a8,𰊨
197289,0x302a9,𰊩
197290,0x302aa,𰊪
197291,0x302ab,𰊫
197292,0x302ac,𰊬
197293,0x302ad,𰊭
197294,0x302ae,𰊮
197295,0x302af,𰊯
197296,0x302b0,𰊰
197297,0x302b1,𰊱
197298,0x302b2,𰊲
197299,0x302b3,𰊳
197300,0x302b4,𰊴
197301,0x302b5,𰊵
197302,0x302b6,𰊶
197303,0x302b7,𰊷
197304,0x302b8,𰊸
197305,0x302b9,𰊹
197306,0x302ba,𰊺
197307,0x302bb,𰊻
197308,0x302bc,𰊼
197309,0x302bd,𰊽
197310,0x302be,𰊾
197311,0x302bf,𰊿
197312,0x302c0,𰋀
197313,0x302c1,𰋁
197314,0x302c2,𰋂
197315,0x302c3,𰋃
197316,0x302c4,𰋄
197317,0x302c5,𰋅
197318,0x302c6,𰋆
197319,0x302c7,𰋇
197320,0x302c8,𰋈
197321,0x302c9,𰋉
197322,0x302ca,𰋊
197323,0x302cb,𰋋
197324,0x302cc,𰋌
197325,0x302cd,𰋍
197326,0x302ce,𰋎
197327,0x302cf,𰋏
197328,0x302d0,𰋐
197329,0x302d1,𰋑
197330,0x302d2,𰋒
197331,0x302d3,𰋓
197332,0x302d4,𰋔
197333,0x302d5,𰋕
197334,0x302d6,𰋖
197335,0x302d7,𰋗
197336,0x302d8,𰋘
197337,0x302d9,𰋙
197338,0x302da,𰋚
197339,0x302db,𰋛
197340,0x302dc,𰋜
197341,0x302dd,𰋝
197342,0x302de,𰋞
197343,0x302df,𰋟
197344,0x302e0,𰋠
197345,0x302e1,𰋡
197346,0x302e2,𰋢
197347,0x302e3,𰋣
197348,0x302e4,𰋤
197349,0x302e5,𰋥
197350,0x302e6,𰋦
197351,0x302e7,𰋧
197352,0x302e8,𰋨
197353,0x302e9,𰋩
197354,0x302ea,𰋪
197355,0x302eb,𰋫
197356,0x302ec,𰋬
197357,0x302ed,𰋭
197358,0x302ee,𰋮
197359,0x302ef,𰋯
197360,0x302f0,𰋰
197361,0x302f1,𰋱
197362,0x302f2,𰋲
197363,0x302f3,𰋳
197364,0x302f4,𰋴
197365,0x302f5,𰋵
197366,0x302f6,𰋶
197367,0x302f7,𰋷
197368,0x302f8,𰋸
197369,0x302f9,𰋹
197370,0x302fa,𰋺
197371,0x302fb,𰋻
197372,0x302fc,𰋼
197373,0x302fd,𰋽
197374,0x302fe,𰋾
197375,0x302ff,𰋿
197376,0x30300,𰌀
197377,0x30301,𰌁
197378,0x30302,𰌂
197379,0x30303,𰌃
197380,0x30304,𰌄
197381,0x30305,𰌅
197382,0x30306,𰌆
197383,0x30307,𰌇
197384,0x30308,𰌈
197385,0x30309,𰌉
197386,0x3030a,𰌊
197387,0x3030b,𰌋
197388,0x3030c,𰌌
197389,0x3030d,𰌍
197390,0x3030e,𰌎
197391,0x3030f,𰌏
197392,0x30310,𰌐
197393,0x30311,𰌑
197394,0x30312,𰌒
197395,0x30313,𰌓
197396,0x30314,𰌔
197397,0x30315,𰌕
197398,0x30316,𰌖
197399,0x30317,𰌗
197400,0x30318,𰌘
197401,0x30319,𰌙
197402,0x3031a,𰌚
197403,0x3031b,𰌛
197404,0x3031c,𰌜
197405,0x3031d,𰌝
197406,0x3031e,𰌞
197407,0x3031f,𰌟
197408,0x30320,𰌠
197409,0x30321,𰌡
197410,0x30322,𰌢
197411,0x30323,𰌣
197412,0x30324,𰌤
197413,0x30325,𰌥
197414,0x30326,𰌦
197415,0x30327,𰌧
197416,0x30328,𰌨
197417,0x30329,𰌩
197418,0x3032a,𰌪
197419,0x3032b,𰌫
197420,0x3032c,𰌬
197421,0x3032d,𰌭
197422,0x3032e,𰌮
197423,0x3032f,𰌯
197424,0x30330,𰌰
197425,0x30331,𰌱
197426,0x30332,𰌲
197427,0x30333,𰌳
197428,0x30334,𰌴
197429,0x30335,𰌵
197430,0x30336,𰌶
197431,0x30337,𰌷
197432,0x30338,𰌸
197433,0x30339,𰌹
197434,0x3033a,𰌺
197435,0x3033b,𰌻
197436,0x3033c,𰌼
197437,0x3033d,𰌽
197438,0x3033e,𰌾
197439,0x3033f,𰌿
197440,0x30340,𰍀
197441,0x30341,𰍁
197442,0x30342,𰍂
197443,0x30343,𰍃
197444,0x30344,𰍄
197445,0x30345,𰍅
197446,0x30346,𰍆
197447,0x30347,𰍇
197448,0x30348,𰍈
197449,0x30349,𰍉
197450,0x3034a,𰍊
197451,0x3034b,𰍋
197452,0x3034c,𰍌
197453,0x3034d,𰍍
197454,0x3034e,𰍎
197455,0x3034f,𰍏
197456,0x30350,𰍐
197457,0x30351,𰍑
197458,0x30352,𰍒
197459,0x30353,𰍓
197460,0x30354,𰍔
197461,0x30355,𰍕
197462,0x30356,𰍖
197463,0x30357,𰍗
197464,0x30358,𰍘
197465,0x30359,𰍙
