decimalism,hexadecimal,kanji
131719,0x20287,𠊇
131720,0x20288,𠊈
131721,0x20289,𠊉
131722,0x2028a,𠊊
131723,0x2028b,𠊋
131724,0x2028c,𠊌
131725,0x2028d,𠊍
131726,0x2028e,𠊎
131727,0x2028f,𠊏
131728,0x20290,𠊐
131729,0x20291,𠊑
131730,0x20292,𠊒
131731,0x20293,𠊓
131732,0x20294,𠊔
131733,0x20295,𠊕
131734,0x20296,𠊖
131735,0x20297,𠊗
131736,0x20298,𠊘
131737,0x20299,𠊙
131738,0x2029a,𠊚
131739,0x2029b,𠊛
131740,0x2029c,𠊜
131741,0x2029d,𠊝
131742,0x2029e,𠊞
131743,0x2029f,𠊟
131744,0x202a0,𠊠
131745,0x202a1,𠊡
131746,0x202a2,𠊢
131747,0x202a3,𠊣
131748,0x202a4,𠊤
131749,0x202a5,𠊥
131750,0x202a6,𠊦
131751,0x202a7,𠊧
131752,0x202a8,𠊨
131753,0x202a9,𠊩
131754,0x202aa,𠊪
131755,0x202ab,𠊫
131756,0x202ac,𠊬
131757,0x202ad,𠊭
131758,0x202ae,𠊮
131759,0x202af,𠊯
131760,0x202b0,𠊰
131761,0x202b1,𠊱
131762,0x202b2,𠊲
131763,0x202b3,𠊳
131764,0x202b4,𠊴
131765,0x202b5,𠊵
131766,0x202b6,𠊶
131767,0x202b7,𠊷
131768,0x202b8,𠊸
131769,0x202b9,𠊹
131770,0x202ba,𠊺
131771,0x202bb,𠊻
131772,0x202bc,𠊼
131773,0x202bd,𠊽
131774,0x202be,𠊾
131775,0x202bf,𠊿
131776,0x202c0,𠋀
131777,0x202c1,𠋁
131778,0x202c2,𠋂
131779,0x202c3,𠋃
131780,0x202c4,𠋄
131781,0x202c5,𠋅
131782,0x202c6,𠋆
131783,0x202c7,𠋇
131784,0x202c8,𠋈
131785,0x202c9,𠋉
131786,0x202ca,𠋊
131787,0x202cb,𠋋
131788,0x202cc,𠋌
131789,0x202cd,𠋍
131790,0x202ce,𠋎
131791,0x202cf,𠋏
131792,0x202d0,𠋐
131793,0x202d1,𠋑
131794,0x202d2,𠋒
131795,0x202d3,𠋓
131796,0x202d4,𠋔
131797,0x202d5,𠋕
131798,0x202d6,𠋖
131799,0x202d7,𠋗
131800,0x202d8,𠋘
131801,0x202d9,𠋙
131802,0x202da,𠋚
131803,0x202db,𠋛
131804,0x202dc,𠋜
131805,0x202dd,𠋝
131806,0x202de,𠋞
131807,0x202df,𠋟
131808,0x202e0,𠋠
131809,0x202e1,𠋡
131810,0x202e2,𠋢
131811,0x202e3,𠋣
131812,0x202e4,𠋤
131813,0x202e5,𠋥
131814,0x202e6,𠋦
131815,0x202e7,𠋧
131816,0x202e8,𠋨
131817,0x202e9,𠋩
131818,0x202ea,𠋪
131819,0x202eb,𠋫
131820,0x202ec,𠋬
131821,0x202ed,𠋭
131822,0x202ee,𠋮
131823,0x202ef,𠋯
131824,0x202f0,𠋰
131825,0x202f1,𠋱
131826,0x202f2,𠋲
131827,0x202f3,𠋳
131828,0x202f4,𠋴
131829,0x202f5,𠋵
131830,0x202f6,𠋶
131831,0x202f7,𠋷
131832,0x202f8,𠋸
131833,0x202f9,𠋹
131834,0x202fa,𠋺
131835,0x202fb,𠋻
131836,0x202fc,𠋼
131837,0x202fd,𠋽
131838,0x202fe,𠋾
131839,0x202ff,𠋿
131840,0x20300,𠌀
131841,0x20301,𠌁
131842,0x20302,𠌂
131843,0x20303,𠌃
131844,0x20304,𠌄
131845,0x20305,𠌅
131846,0x20306,𠌆
131847,0x20307,𠌇
131848,0x20308,𠌈
131849,0x20309,𠌉
131850,0x2030a,𠌊
131851,0x2030b,𠌋
131852,0x2030c,𠌌
131853,0x2030d,𠌍
131854,0x2030e,𠌎
131855,0x2030f,𠌏
131856,0x20310,𠌐
131857,0x20311,𠌑
131858,0x20312,𠌒
131859,0x20313,𠌓
131860,0x20314,𠌔
131861,0x20315,𠌕
131862,0x20316,𠌖
131863,0x20317,𠌗
131864,0x20318,𠌘
131865,0x20319,𠌙
131866,0x2031a,𠌚
131867,0x2031b,𠌛
131868,0x2031c,𠌜
131869,0x2031d,𠌝
131870,0x2031e,𠌞
131871,0x2031f,𠌟
131872,0x20320,𠌠
131873,0x20321,𠌡
131874,0x20322,𠌢
131875,0x20323,𠌣
131876,0x20324,𠌤
131877,0x20325,𠌥
131878,0x20326,𠌦
131879,0x20327,𠌧
131880,0x20328,𠌨
131881,0x20329,𠌩
131882,0x2032a,𠌪
131883,0x2032b,𠌫
131884,0x2032c,𠌬
131885,0x2032d,𠌭
131886,0x2032e,𠌮
131887,0x2032f,𠌯
131888,0x20330,𠌰
131889,0x20331,𠌱
131890,0x20332,𠌲
131891,0x20333,𠌳
131892,0x20334,𠌴
131893,0x20335,𠌵
131894,0x20336,𠌶
131895,0x20337,𠌷
131896,0x20338,𠌸
131897,0x20339,𠌹
131898,0x2033a,𠌺
131899,0x2033b,𠌻
131900,0x2033c,𠌼
131901,0x2033d,𠌽
131902,0x2033e,𠌾
131903,0x2033f,𠌿
131904,0x20340,𠍀
131905,0x20341,𠍁
131906,0x20342,𠍂
131907,0x20343,𠍃
131908,0x20344,𠍄
131909,0x20345,𠍅
131910,0x20346,𠍆
131911,0x20347,𠍇
131912,0x20348,𠍈
131913,0x20349,𠍉
131914,0x2034a,𠍊
131915,0x2034b,𠍋
131916,0x2034c,𠍌
131917,0x2034d,𠍍
131918,0x2034e,𠍎
131919,0x2034f,𠍏
131920,0x20350,𠍐
131921,0x20351,𠍑
131922,0x20352,𠍒
131923,0x20353,𠍓
131924,0x20354,𠍔
131925,0x20355,𠍕
131926,0x20356,𠍖
131927,0x20357,𠍗
131928,0x20358,𠍘
131929,0x20359,𠍙
131930,0x2035a,𠍚
131931,0x2035b,𠍛
131932,0x2035c,𠍜
131933,0x2035d,𠍝
131934,0x2035e,𠍞
131935,0x2035f,𠍟
131936,0x20360,𠍠
131937,0x20361,𠍡
131938,0x20362,𠍢
131939,0x20363,𠍣
131940,0x20364,𠍤
131941,0x20365,𠍥
131942,0x20366,𠍦
131943,0x20367,𠍧
131944,0x20368,𠍨
131945,0x20369,𠍩
131946,0x2036a,𠍪
131947,0x2036b,𠍫
131948,0x2036c,𠍬
131949,0x2036d,𠍭
131950,0x2036e,𠍮
131951,0x2036f,𠍯
131952,0x20370,𠍰
131953,0x20371,𠍱
131954,0x20372,𠍲
131955,0x20373,𠍳
131956,0x20374,𠍴
131957,0x20375,𠍵
131958,0x20376,𠍶
131959,0x20377,𠍷
131960,0x20378,𠍸
131961,0x20379,𠍹
131962,0x2037a,𠍺
131963,0x2037b,𠍻
131964,0x2037c,𠍼
131965,0x2037d,𠍽
131966,0x2037e,𠍾
131967,0x2037f,𠍿
131968,0x20380,𠎀
131969,0x20381,𠎁
131970,0x20382,𠎂
131971,0x20383,𠎃
131972,0x20384,𠎄
131973,0x20385,𠎅
131974,0x20386,𠎆
131975,0x20387,𠎇
131976,0x20388,𠎈
131977,0x20389,𠎉
131978,0x2038a,𠎊
131979,0x2038b,𠎋
131980,0x2038c,𠎌
131981,0x2038d,𠎍
131982,0x2038e,𠎎
131983,0x2038f,𠎏
131984,0x20390,𠎐
131985,0x20391,𠎑
131986,0x20392,𠎒
131987,0x20393,𠎓
131988,0x20394,𠎔
131989,0x20395,𠎕
131990,0x20396,𠎖
131991,0x20397,𠎗
131992,0x20398,𠎘
131993,0x20399,𠎙
131994,0x2039a,𠎚
131995,0x2039b,𠎛
131996,0x2039c,𠎜
131997,0x2039d,𠎝
131998,0x2039e,𠎞
131999,0x2039f,𠎟
132000,0x203a0,𠎠
132001,0x203a1,𠎡
132002,0x203a2,𠎢
132003,0x203a3,𠎣
132004,0x203a4,𠎤
132005,0x203a5,𠎥
132006,0x203a6,𠎦
132007,0x203a7,𠎧
132008,0x203a8,𠎨
132009,0x203a9,𠎩
132010,0x203aa,𠎪
132011,0x203ab,𠎫
132012,0x203ac,𠎬
132013,0x203ad,𠎭
132014,0x203ae,𠎮
132015,0x203af,𠎯
